frame_id,source_video,video_id,source_frame_idx,timestamp_ms,diff_from_prev,kept
Screen_Recording_2026-07-03_at_12.06.59 AM_002778.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2778,86663,9.15,True
Screen_Recording_2026-07-03_at_12.06.59 AM_002781.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2781,86743,3.66,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002784.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2784,86823,4.63,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002787.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2787,86923,6.32,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002790.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2790,87023,6.62,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002793.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2793,87123,6.85,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002796.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2796,87223,6.92,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002799.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2799,87343,7.72,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002802.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2802,87423,8.73,True
Screen_Recording_2026-07-03_at_12.06.59 AM_002805.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2805,87503,3.42,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002808.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2808,87603,4.58,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002811.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2811,87703,5.02,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002814.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2814,87803,4.98,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002817.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2817,87883,5.75,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002820.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2820,87963,6.09,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002823.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2823,88063,6.09,False
